"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"1","Abisara bifasciata","Insecta","Lepidoptera","Glossata","Riodinidae","Abisara","GCA_018237985.1","Contig"
"2","Abrostola tripartita","Insecta","Lepidoptera","Glossata","Noctuidae","Abrostola","GCA_905340225.1","Chromosome"
"3","Abrostola triplasia","Insecta","Lepidoptera","Glossata","Noctuidae","Abrostola","GCA_946251915.1","Chromosome"
"4","Abscondita cerata","Insecta","Coleoptera","Polyphaga","Lampyridae","Abscondita","GCA_030710515.1","Contig"
"5","Abscondita terminalis","Insecta","Coleoptera","Polyphaga","Lampyridae","Abscondita","GCA_013368085.1","Scaffold"
"6","Acanthacorydalis orientalis","Insecta","Megaloptera",NA,"Corydalidae","Acanthacorydalis","GCA_034766995.1","Chromosome"
"7","Acanthococcus lagerstroemiae","Insecta","Hemiptera","Sternorrhyncha","Eriococcidae","Acanthococcus","GCA_031841125.1","Chromosome"
"8","Acanthoscelides obtectus","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Acanthoscelides","GCA_933228535.1","Contig"
"9","Acanthosoma haemorrhoidale","Insecta","Hemiptera","Heteroptera","Acanthosomatidae","Acanthosoma","GCA_930367205.1","Chromosome"
"10","Acentria ephemerella","Insecta","Lepidoptera","Glossata","Crambidae","Acentria","GCA_943193645.1","Chromosome"
"11","Acheta domesticus","Insecta","Orthoptera","Ensifera","Gryllidae","Acheta","GCA_014858955.1","Contig"
"12","Achlya flavicornis","Insecta","Lepidoptera","Glossata","Drepanidae","Achlya","GCA_947623365.1","Chromosome"
"13","Achroia grisella","Insecta","Lepidoptera","Glossata","Pyralidae","Achroia","GCF_030625045.1","Contig"
"14","Acleris cristana","Insecta","Lepidoptera","Glossata","Tortricidae","Acleris","GCA_948252455.1","Chromosome"
"15","Acleris emargana","Insecta","Lepidoptera","Glossata","Tortricidae","Acleris","GCA_927399475.1","Chromosome"
"16","Acleris holmiana","Insecta","Lepidoptera","Glossata","Tortricidae","Acleris","GCA_949316455.1","Chromosome"
"17","Acleris literana","Insecta","Lepidoptera","Glossata","Tortricidae","Acleris","GCA_946894065.1","Chromosome"
"18","Acleris sparsana","Insecta","Lepidoptera","Glossata","Tortricidae","Acleris","GCA_923062465.1","Chromosome"
"19","Acraspis erinacei","Insecta","Hymenoptera","Apocrita","Cynipidae","Acraspis","GCA_035041075.1","Scaffold"
"20","Acrobasis consociella","Insecta","Lepidoptera","Glossata","Pyralidae","Acrobasis","GCA_963555685.1","Chromosome"
"21","Acrobasis repandana","Insecta","Lepidoptera","Glossata","Pyralidae","Acrobasis","GCA_963576875.1","Chromosome"
"22","Acrobasis suavella","Insecta","Lepidoptera","Glossata","Pyralidae","Acrobasis","GCA_943193695.1","Chromosome"
"23","Acrocera orbiculus","Insecta","Diptera","Brachycera","Acroceridae","Acrocera","GCA_947359355.1","Chromosome"
"24","Acromyrmex charruanus","Insecta","Hymenoptera","Apocrita","Formicidae","Acromyrmex","GCA_017607545.1","Scaffold"
"25","Acromyrmex echinatior","Insecta","Hymenoptera","Apocrita","Formicidae","Acromyrmex","GCA_024713525.1","Scaffold"
"26","Acromyrmex heyeri","Insecta","Hymenoptera","Apocrita","Formicidae","Acromyrmex","GCA_017607565.1","Scaffold"
"27","Acromyrmex insinuator","Insecta","Hymenoptera","Apocrita","Formicidae","Acromyrmex","GCA_017607455.1","Scaffold"
"28","Acronicta aceris","Insecta","Lepidoptera","Glossata","Noctuidae","Acronicta","GCA_910591435.1","Chromosome"
"29","Acronicta leporina","Insecta","Lepidoptera","Glossata","Noctuidae","Acronicta","GCA_947256265.1","Chromosome"
"30","Acronicta psi","Insecta","Lepidoptera","Glossata","Noctuidae","Acronicta","GCA_946251955.1","Chromosome"
"31","Actias luna","Insecta","Lepidoptera","Glossata","Saturniidae","Actias","GCA_010014465.3","Scaffold"
"32","Acyrthosiphon pisum","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Acyrthosiphon","GCF_005508785.1","Chromosome"
"33","Adalia bipunctata","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","GCA_910592335.1","Chromosome"
"34","Adalia decempunctata","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","GCA_951802165.1","Chromosome"
"35","Adela reaumurella","Insecta","Lepidoptera","Glossata","Adelidae","Adela","GCA_009867175.2","Scaffold"
"36","Adelges cooleyi","Insecta","Hemiptera","Sternorrhyncha","Adelgidae","Adelges","GCF_023614345.1","Scaffold"
"37","Adelognathus sp. PSUC_FEM 10030001","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Adelognathus","GCA_018812205.1","Scaffold"
"38","Adelphocoris suturalis","Insecta","Hemiptera","Heteroptera","Miridae","Adelphocoris","GCA_030762985.1","Chromosome"
"39","Adinopsis sp. GC000173","Insecta","Coleoptera","Polyphaga","Staphylinidae","Adinopsis","GCA_030264715.1","Scaffold"
"40","Adoxophyes honmai","Insecta","Lepidoptera","Glossata","Tortricidae","Adoxophyes","GCA_005406045.1","Scaffold"
"41","Adranes taylori","Insecta","Coleoptera","Polyphaga","Staphylinidae","Adranes","GCA_009867245.2","Scaffold"
"42","Aedes aegypti","Insecta","Diptera","Nematocera","Culicidae","Aedes","GCA_009613055.1","Chromosome"
"43","Aedes albopictus","Insecta","Diptera","Nematocera","Culicidae","Aedes","GCA_035046485.1","Chromosome"
"44","Aedes japonicus","Insecta","Diptera","Nematocera","Culicidae","Aedes","GCA_034211315.1","Scaffold"
"45","Aedes koreicus","Insecta","Diptera","Nematocera","Culicidae","Aedes","GCA_024533555.1","Contig"
"46","Aelia acuminata","Insecta","Hemiptera","Heteroptera","Pentatomidae","Aelia","GCA_911387785.1","Chromosome"
"47","Aenictocupidus jacobsonorum","Insecta","Coleoptera","Polyphaga","Staphylinidae","Aenictocupidus","GCA_010014765.1","Scaffold"
"48","Aeromachus stigmata","Insecta","Lepidoptera","Glossata","Hesperiidae","Aeromachus","GCA_018248935.1","Contig"
"49","Aethilla lavochrea","Insecta","Lepidoptera","Glossata","Hesperiidae","Aethilla","GCA_018251295.1","Contig"
"50","Aethina tumida","Insecta","Coleoptera","Polyphaga","Nitidulidae","Aethina","GCF_024364675.1","Complete Genome"
"51","Agapetus fuscipes","Insecta","Trichoptera","Integripalpia","Glossosomatidae","Agapetus","GCA_951799405.1","Chromosome"
"52","Agapostemon virescens","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","GCA_028453745.1","Chromosome"
"53","Agara belti","Insecta","Lepidoptera","Glossata","Hesperiidae","Agara","GCA_018245935.1","Contig"
"54","Agara michaeli","Insecta","Lepidoptera","Glossata","Hesperiidae","Agara","GCA_018245675.1","Contig"
"55","Agathymus mariae","Insecta","Lepidoptera","Glossata","Hesperiidae","Agathymus","GCA_018251895.1","Contig"
"56","Agelastica alni","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Agelastica","GCA_950111635.1","Chromosome"
"57","Agonopterix arenella","Insecta","Lepidoptera","Glossata","Depressariidae","Agonopterix","GCA_927399405.1","Chromosome"
"58","Agonopterix heracliana","Insecta","Lepidoptera","Glossata","Depressariidae","Agonopterix","GCA_963693445.1","Chromosome"
"59","Agonopterix subpropinquella","Insecta","Lepidoptera","Glossata","Depressariidae","Agonopterix","GCA_922987775.1","Chromosome"
"60","Agonum fuliginosum","Insecta","Coleoptera","Adephaga","Carabidae","Agonum","GCA_947534325.1","Chromosome"
"61","Agraylea sexmaculata","Insecta","Trichoptera","Integripalpia","Hydroptilidae","Agraylea","GCA_022606485.1","Scaffold"
"62","Agrilus biguttatus","Insecta","Coleoptera","Polyphaga","Buprestidae","Agrilus","GCA_963921965.1","Contig"
"63","Agrilus cyanescens","Insecta","Coleoptera","Polyphaga","Buprestidae","Agrilus","GCA_947389935.1","Chromosome"
"64","Agrilus mali","Insecta","Coleoptera","Polyphaga","Buprestidae","Agrilus","GCA_029378335.1","Chromosome"
"65","Agrilus planipennis","Insecta","Coleoptera","Polyphaga","Buprestidae","Agrilus","GCF_000699045.2","Scaffold"
