Source,Env.,Sex,Stage,Species,Family,Order,Voltinism,Latitude,Longitude,Location,Altitude (m.a.s.l),Body Size,Original Units,Dry Mass (mg),LN Dry Mass,Notes
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.12,5.29,West Norway,35,7.44,Front WL (mm),1.00,0.00,Wing length assumed to be equal to body length. Order-specific conversion taken from Smock 1980 (J. Freshw. Biol. 10: 375-383).
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.12,5.29,West Norway,40,7.31,Front WL (mm),0.94,-0.06,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.53,7.8,West Norway,54,7.45,Front WL (mm),1.00,0.00,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.51,6.15,West Norway,580,8.73,Front WL (mm),1.64,0.49,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.27,7.24,West Norway,835,7.64,Front WL (mm),1.08,0.08,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.12,6.58,West Norway,1200,8.79,Front WL (mm),1.68,0.52,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.36,7.32,West Norway,1220,8.71,Front WL (mm),1.63,0.49,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.12,-107.27,"Agricultural Field Station, Jornada del Muerto, New Mexico",1500,3.17,Mass (g),1266.80,7.14,Wet mass to dry mass x0.4
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.34,-106.97,"Nunn Flats, Sevilleta National Wildlife Refuge, New Mexico",1600,3.59,Mass (g),1436.40,7.27,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.79,-106.69,"Soda Dam, Jemez Mountains, New Mexico",2150,2.03,Mass (g),810.80,6.70,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.79,-106.39,"Fourth of July Canyon, Manzano Mountains, New Mexico",2430,1.62,Mass (g),647.20,6.47,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.99,-107.19,"South Baldy, Magdalena Mountains, New Mexico",3500,1.48,Mass (g),592.00,6.38,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.24,-107.61,"La Mosca Peak, Mount Taylor Mountains, New Mexico",3600,1.93,Mass (g),772.00,6.65,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.12,-107.27,"Agricultural Field Station, Jornada del Muerto, New Mexico",1500,1.23,Mass (g),490.80,6.20,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.34,-106.97,"Nunn Flats, Sevilleta National Wildlife Refuge, New Mexico",1600,1.24,Mass (g),495.20,6.20,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.79,-106.69,"Soda Dam, Jemez Mountains, New Mexico",2150,0.61,Mass (g),244.00,5.50,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.79,-106.39,"Fourth of July Canyon, Manzano Mountains, New Mexico",2430,0.42,Mass (g),169.60,5.13,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.99,-107.19,"South Baldy, Magdalena Mountains, New Mexico",3500,0.41,Mass (g),163.60,5.10,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.24,-107.61,"La Mosca Peak, Mount Taylor Mountains, New Mexico",3600,0.48,Mass (g),190.00,5.25,
