Order,Species,Sphericity,Surface area [mm2],"Volume
[mm3]",Dry mass [mg],Location
Coleoptera,Cassida sp.,0.65,21.6,4.9,0.85,D
Coleoptera,Chrysolina fastuosa,0.37,64.3,11.1,3.14,D
Coleoptera,Coccinella septempunctata,0.6,149.1,79.8,8.36,D
Coleoptera,Cryptocephalus moraei,0.52,41.3,9.4,2.8,D
Coleoptera,Cryptocephalus sericeus,0.63,184.5,117.7,15.26,H
Coleoptera,Cryptocephalus vittatus,0.89,32.2,14.3,3.55,D
Coleoptera,Curculionidae indet.,0.77,28.7,9.7,2.09,D
Coleoptera,Labidostomis longimana,0.62,71.3,27.9,7.57,D
Coleoptera,Oedemera femorata,0.4,154.7,45.7,9.08,D
Coleoptera,Oedemera nobilis,0.38,104.7,23.9,5.12,D
Coleoptera,Oedemera virescens,0.44,41.8,7.3,1.06,D
Coleoptera,Oxythyrea funesta,0.59,198.4,117.9,23.73,D
Coleoptera,Pseudovadonia livida,0.46,74.7,19.2,3.5,H
Coleoptera,Rhagonycha fulva,0.48,56.6,13.3,5,D
Coleoptera,Stenurella melanura,0.39,69.4,13.3,5.65,D
Diptera,Acanthiophilus helianthi,0.56,16.8,2.7,0.7,G
Diptera,Botanophila fugax,0.36,65.2,10.7,1.39,D
Diptera,Calliopum aeneum,0.65,26.8,6.9,2.14,G
Diptera,Cheilosia gigantea,0.46,97.2,28,5.49,H
Diptera,Cheilosia himantopus,0.63,237.1,171.2,26.98,G
Diptera,Cheilosia illustrata,0.64,25.4,6.1,1.94,G
Diptera,Chloromyia formosa,0.47,63,15.1,3.84,D
Diptera,Chrysogaster virescens,0.59,61.7,20.5,5.82,H
Diptera,Chrysotoxum bicinctum,0.61,131.5,67,15.03,G
Diptera,Chrysotoxum festivum,0.58,187.6,107,27.98,G
Diptera,Chrysotoxum latilimbatum,0.54,161.4,76.2,15.04,D
Diptera,Chrysotoxum verralli,0.68,98.2,51.3,10.84,G
Diptera,Delia platura,0.46,21.9,3,0.69,G
Diptera,Dioctria atricapilla,0.41,99.3,24.2,5.98,D
Diptera,Dolichopus ungulatus,0.46,58.8,13.2,3.03,D
Diptera,Empis livida,0.31,147.8,29.5,6.08,H
Diptera,Empis pennipes,0.57,14.7,2.3,0.79,G
Diptera,Empis tessellata,0.6,78.8,30.4,13.91,G
Diptera,Episyrphus balteatus,0.64,34.7,9.8,4.76,D
Diptera,Eristalis pertinax,0.6,281.8,208.7,29.76,G
Diptera,Eristalis tenax,0.37,464,214.2,47.07,H
Diptera,Helophilus trivittatus,0.45,167,61,14.69,H
Diptera,Lucilia sericata,0.53,82.5,27.5,6.86,H
Diptera,Lucilia silvarum,0.64,68.9,27.6,8.86,G
Diptera,Minettia fasciata,0.46,28.3,4.4,1.01,D
Diptera,Musca domestica,0.32,187.9,43.1,4.61,D
Diptera,Neomyia viridescens,0.7,94.8,51.1,8.06,G
Diptera,Orellia falcata,0.44,69.3,16,4.21,D
Diptera,Platycheirus clypeatus,0.55,37.6,8.9,1.02,G
Diptera,Platypalpus pallidiventris,0.6,8.9,1.2,0.57,G
Diptera,Pollenia pediculata,0.51,93.9,31.1,5.27,G
Diptera,Pollenia similis,0.49,51.1,11.9,2.15,D
Diptera,Sapromyza quadripunctata,0.65,22.4,5.3,1.64,D
Diptera,Sarcophaga carnaria,0.41,325.6,144.9,37.76,D
Diptera,Sarcophaga haemorrhoa,0.28,483.8,148.6,6.42,D
Diptera,Sarcophaga lehmanni,0.38,226.8,74.1,12.59,D
Diptera,Sarcophaga variegata,0.41,256.9,102.5,16.36,G
Diptera,Scaeva pyrastri,0.34,249,73.2,15.95,H
Diptera,Solieria pacifica,0.33,87.3,14.6,1.99,H
Diptera,Solieria vacua,0.39,63.2,11.7,2.69,D
Diptera,Sphaerophoria interrupta (gp.),0.42,63,12.7,2.39,H
Diptera,Sphaerophoria scripta,0.44,99.2,27.2,5.03,G
Diptera,Syritta pipiens,0.41,114,29.9,7.71,G
Diptera,Volucella bombylans,0.59,315,235.4,46.4,G
Diptera,Xanthogramma pedissequum,0.55,109.7,43.9,10.89,G
Diptera,Zophomyia temula,0.47,112.2,35.8,6.46,G
Hymenoptera,Amblyteles armatorius,0.23,361.1,70.2,18.13,D
Hymenoptera,Ammophila sabulosa,0.39,389.2,172.8,16.58,G
Hymenoptera,Andrena chrysosceles,0.59,93.6,38.8,7.71,G
Hymenoptera,Andrena flavipes,0.66,110.3,59,19.38,G
Hymenoptera,Andrena hattorfiana,0.55,208.1,113.6,33.96,G
Hymenoptera,Andrena ovatula,0.61,112.1,53.7,14.41,G
Hymenoptera,Anthidium byssinum,0.55,191.5,100.8,23.2,H
Hymenoptera,Apis mellifera,0.37,354.2,139.1,33.11,G
Hymenoptera,Arge cyanocrocea,0.4,54.2,9.6,2.13,D
Hymenoptera,Athalia rosae,0.58,33.4,8,1.48,D
Hymenoptera,Bombus humilis,0.46,404.8,240.3,30.26,G
Hymenoptera,Bombus lapidarius,0.67,303.6,272.5,67.41,H
Hymenoptera,Bombus pascuorum,0.44,327,160.2,28.84,G
Hymenoptera,Bombus sylvarum,0.25,437.3,105.3,27.66,H
Hymenoptera,Bombus terrestris,0.47,467.5,305.2,54.65,H
Hymenoptera,Coelioxys cf. elongata,0.39,183.7,57.3,16.58,H
Hymenoptera,Colletes marginatus,0.39,152.6,43.6,10.55,G
Hymenoptera,Eucera longicornis,0.6,230.3,150.9,31.7,G
Hymenoptera,Hoplocampa sp.,0.53,55.3,15,3.47,G
Hymenoptera,Ichneumonidae indet.,0.34,68.1,10.4,2.91,D
Hymenoptera,Lasioglossum albipes,0.45,97.6,27.5,6.7,G
Hymenoptera,Lasioglossum leucozonium,0.36,160.3,41.2,9.47,D
Hymenoptera,Megachile alpicola,0.62,177.8,110.1,30.62,G
Hymenoptera,Melitturga sp.,0.44,291.6,136.6,24.7,G
Hymenoptera,Nomada succincta,0.37,188.9,55.9,14.49,D
Hymenoptera,Osmia leaiana,0.63,133,72.4,23.7,G
Hymenoptera,Panurgus calcaratus,0.6,61.4,21.2,6.74,G
Hymenoptera,Rophitoides sp.,0.53,77.1,24.6,5.72,G
Hymenoptera,Sphecidae indet.,0.39,128.5,33.8,8.06,D
Hymenoptera,Tenthredo notha,0.47,154.2,57.8,12.92,H
Hymenoptera,Vespula vulgaris,0.47,172.1,68.1,15.24,G
Lepidoptera,Aglais urticae,0.28,480.4,150.4,45.55,H
Lepidoptera,Apamea monoglypha,0.63,153.5,88.6,29.32,G
Lepidoptera,Araschnia levana,0.38,178.4,52.7,13.4,H
Lepidoptera,Argynnis aglaja,0.43,411.3,224.1,56.43,H
Lepidoptera,Autographa gamma,0.66,260.5,212,40.41,G
Lepidoptera,Coenonympha pamphilus,0.45,90,24.4,8.06,H
Lepidoptera,Coenonympha sp.,0.4,95.5,21.9,5.62,D
Lepidoptera,Colias hyale,0.53,250.8,143.1,23.09,G
Lepidoptera,Habrosyne derasa,0.62,318.9,260.4,34.24,G
Lepidoptera,Hyles euphorbiae,0.55,1076.7,1337.5,206.86,G
Lepidoptera,Maniola jurtina,0.43,224.7,89.2,33.93,H
Lepidoptera,Melanargia galathea,0.3,331.7,92.3,21.56,H
Lepidoptera,Melitaea britomartis,0.45,99.2,28.3,9.33,H
Lepidoptera,Mompha sp.,0.56,92.8,34.9,8.36,D
Lepidoptera,Noctuidae indet.,0.5,209.2,102.1,23,G
Lepidoptera,Pieris rapae,0.47,192.5,81.3,23.69,H
Lepidoptera,Plebeius idas,0.47,93.4,27.4,5.73,H
Lepidoptera,Polyommatus icarus,0.45,108.8,32.7,6.29,H
Lepidoptera,Rhodostrophia calabra,0.58,39.3,10.3,3.77,G
Lepidoptera,Thymelicus sylvestris,0.3,294.5,79,12.27,H
Lepidoptera,Zygaena filipendulae,0.35,335.6,121.8,15.79,H
