class,order,family,species,taxa,latitude,abs_latitude,longitude,life_stage,habitat,breathing_mode,ctmax,ctmin,body_mass,time_ctmax,time_ctmin,reference,reference_add
Amphibia,Anura,Eleutherodactylidae,Bryophryne cophites,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,28,1.6,0.079181246,1,1.214843848,2,
Amphibia,Anura,Craugastoridae,Psychrophrynella usurpator,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,28.2,2.9,-0.045757491,1.008600172,1.178976947,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis lindae,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,27.1,6,0.397940009,0.959041392,1.079181246,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis danae,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,29,6.3,0.301029996,1.041392685,1.068185862,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis platydactylus,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,28.9,6.8,-0.045757491,1.037426498,1.049218023,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis toftae,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,30.2,7.2,-0.096910013,1.086359831,1.033423755,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis salaputium,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,29.2,7.6,-0.301029996,1.049218023,1.017033339,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis ockendeni,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,29.9,7.9,-0.096910013,1.075546961,1.004321374,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis reichlei,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,31.3,8.2,0.361727836,1.123851641,0.991226076,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis carvalhoi,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,30.6,8.8,-0.397940009,1.100370545,0.963787827,2,
Amphibia,Anura,Eleutherodactylidae,Noblella myrmecoides,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,30.9,11.7,-1,1.11058971,0.799340549,2,
Amphibia,Anura,Eleutherodactylidae,Pristimantis buccinator,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,32.3,12.7,-0.301029996,1.155336037,0.72427587,2,
Amphibia,Anura,Eleutherodactylidae,Oreobates cruralis,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,34.8,15.2,0.079181246,1.225309282,0.447158031,2,
Amphibia,Anura,Eleutherodactylidae,Oreobates granulosus,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,30.4,NA,0.477121255,1.093421685,NA,2,
Amphibia,Anura,Eleutherodactylidae,Oreobates gemcare,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,26.5,NA,0.531478917,0.929418926,NA,2,
Amphibia,Anura,Eleutherodactylidae,Bryophryne nubilosus,amph,-12.56,12.56,-70.1,Adult,Aquatic,Air,27.3,NA,-0.15490196,0.968482949,NA,2,
Amphibia,Anura,Microhylidae,Cophixalus neglectus,amph,-17.5,17.5,145.5,Adult,Terrestrial,Air,30.7,NA,0.255272505,1.029383778,NA,4,
Amphibia,Anura,Microhylidae,Cophixalus mcdonaldi,amph,-17.5,17.5,145.5,Adult,Terrestrial,Air,32.77,NA,0.041392685,1.106190897,NA,4,
Amphibia,Anura,Microhylidae,Cophixalus infacetus,amph,-17.5,17.5,145.5,Adult,Terrestrial,Air,35.08,NA,-0.301029996,1.178401342,NA,4,
Amphibia,Anura,Microhylidae,Cophixalus hosmeri,amph,-17.5,17.5,145.5,Adult,Terrestrial,Air,31.73,NA,-0.522878745,1.069298012,NA,4,
Amphibia,Anura,Microhylidae,Cophixalus exiguus,amph,-17.5,17.5,145.5,Adult,Terrestrial,Air,35.93,NA,-0.397940009,1.202215776,NA,4,
Amphibia,Anura,Microhylidae,Cophixalus bombiens,amph,-17.5,17.5,145.5,Adult,Terrestrial,Air,32.36,NA,-0.522878745,1.092018471,NA,4,
Amphibia,Anura,Microhylidae,Cophixalus aenigma,amph,-17.5,17.5,145.5,Adult,Terrestrial,Air,28.09,NA,-0.22184875,0.907948522,NA,4,
Amphibia,Caudata,Plethodontidae,Plethodon glutinosus,amph,36.9,36.9,-81,Adult,Terrestrial,Air,33,NA,0.685741739,1.342422681,NA,5,
Amphibia,Caudata,Plethodontidae,Plethodon cinereus,amph,36.9,36.9,-81,Adult,Terrestrial,Air,32.5,NA,-0.050609993,1.322219295,NA,5,
