Species,ForewingLength,MeanMass
Battus polydamas,49.6,551
Eurytides dolicaon,47.7,433
Eurytides ilus,43.3,331
Eurytides protesilaus,51,521
Papilio anchisiades,54.1,484
Papilio thoas,59.5,489
Parides arcas,37.3,178
Parides sesostris,42.9,343
Aphrissa boisduvallii,33.4,194
Aphrissa statira,33.9,204
Eurema proterpia,21.6,44
Phoebis argante,36,227
Phoebis philea,44.1,442
Phoebis sennae,41.4,361
Phoebis trite,33.8,180
Appias drusilla,32.5,122
Itaballia demophile,26.8,110
Itaballia pandosia,25.2,50
Melete florinda,34.9,94
Archaeoprepona demophon,57.6,1120
Danaus eresimus,42.3,280
Danaus gilippus,42.5,259
Agraulis vanillae,40.4,284
Dione juno,38.9,207
Dryadula phaetusa,42.2,250
Dryas iulia,40.8,195
Eueides lybia,30.7,87
Heliconius charitonius,42.3,114
Heliconius cydno,39.4,136
Heliconius eleuchia,42.4,189
Heliconius erato,35.4,106
Heliconius hecale,43.4,224
Heliconius melpomene,35.4,108
Heliconius sapho,40.1,168
Heliconius sara,36.3,133
Laparus doris,38.2,131
Philaethria dido,49.1,234
Mechanitis lysimnia,32,83
Mechanitis polymnia,30.7,76
Melinaea parallelis,42.9,203
Melinaea scylax,39.5,161
Olyras insignis,48.3,382
Morpho amathonte,73.5,523
Adelpha iphiclus,27.6,94
Anartia fatima,29.1,115
Eunica alcmena,35.3,216
Eunica sp.,31.4,157
Hamadryas feronia,38.3,315
Hamadryas ipthime,35.6,272
Historis acheronta,43.3,533
Junonia evarete,27,126
Marpesia chiron,31.4,144
Marpesia petreus,39.7,197
Pyrrhogyra crameri,27.8,113
Pyrrhogyra neaerea,31.8,122
Pyrrhogyra otolais,31.9,124
Siproeta stelenes,42.1,209
Cissia sp.,24.9,97
Calpodes ethlius,24.9,256
Cyclosemia anastomosis,23.7,120
Heliopetes sp.,19.3,74
Typhedanus undulatus,24.1,234
