"edv_code","species","family","individuals_measured","sex_measured","saproxylic_beetle_europe","saproxylic_beetle_germany","rl_cat_germany","rl_population_current_germnany","sexual_dimorphism_regarding_13_traits_extinction_risk_analyses","sexual_dimorphism_comment","sexual_dimorphism_other_morphological_charact","mean_body_length_literature","colour_lightness","mass","body_length","body_width","body_height","body_roundness","head_length","head_width","pronotum_length","pronotum_width","elytra_length","elytra_width","wing_length","wing_width","wing_area","wing_aspect","wing_load","antenna_length","mandible_length","proximal_mandible_width","mandible_aspect","eye_length","eye_area","front_femur_length","front_femur_width","front_tibia_length","mid_femur_length","mid_femur_width","mid_tibia_length","hind_femur_length","hind_femur_width","hind_tibia_length","hairiness_head_dorsal","hairiness_pronotum_dorsal","hairiness_abdomen_dorsal","hairiness_abdomen_ventral","hairiness_total","residuals_body_width","residuals_head_length","residuals_wing_length","residuals_wing_load","residuals_front_femur_length","residuals_antenna_length","residuals_eye_length"
"1","01-.028-.001-.","Tachyta_nana","Carabidae",1,NA,1,1,"*","mh",0,"","",2.5,109.13,0.965,3.258,1.267,0.659,0.52,0.497,0.591,0.57,0.873,1.91,0.619,2.818,1.106,2.306,2.548,0.418,1.037,0.192,0.071,0.37,0.177,0.02,0.596,0.187,0.443,0.507,0.176,0.501,0.693,0.21,0.65,0,0,0,0,0,-0.065,-0.187,-0.261,0.386,-0.056,0.051,-0.211
"2","01-.079-.004-.","Dromius_agilis","Carabidae",1,NA,0,0,"*","h",0,"","",6.1,98.19,7.025,6.345,2.241,1.271,0.567,1.313,1.145,1.147,1.362,3.466,1.145,9.312,3.801,27.827,2.45,0.252,2.688,0.477,0.198,0.415,0.41,0.117,2.01,0.571,1.608,2.048,0.52,1.744,2.409,0.637,2.268,2.012,1.466,0.892,1.082,1.363,-0.092,0.172,0.364,-0.773,0.553,0.403,0.072
"3","06-.001-.001-.","Rhysodes_sulcatus","Rhysodidae",1,NA,1,1,"0","ex",0,"","male: large spine in the apex of hind tibia",7,130.7,7.771,7.564,1.97,1.666,0.846,1.125,1.228,1.838,1.445,4.836,0.969,5.948,2.686,13.454,2.214,0.578,2.34,0.138,0.064,0.464,0.435,0.109,0.645,0.479,0.752,0.755,0.306,0.772,0.878,0.285,0.851,17.915,16.62,10.32,NA,14.952,-0.379,-0.144,-0.234,-0.118,-0.744,0.106,-0.016
"4","06-.002-.001-.","Omoglymmius_germari","Rhysodidae",1,NA,1,0,"0","ex",0,"","male: large spine in the apex of hind tibia",7,NA,5.045,7.154,1.816,1.4,0.771,0.943,1.041,1.905,1.395,4.352,0.952,5.703,2.477,11.249,2.302,0.448,2.135,0.278,0.094,0.338,0.347,0.061,0.704,0.439,0.795,0.788,0.281,0.86,1.039,0.31,0.917,0,0,6.303,NA,2.101,-0.41,-0.269,-0.229,-0.316,-0.606,0.064,-0.195
"5","10-.001-.001-.","Teretrius_fabricii","Histeridae",1,NA,1,1,"G","ss",0,"","",2,110.96,NA,2.404,1.143,0.959,0.839,0.438,0.632,0.796,1.07,1.151,0.577,NA,NA,NA,NA,NA,0.57,0.263,0.06,0.228,0.188,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.146,32.787,24.263,NA,33.065,0.105,-0.034,NA,NA,NA,-0.273,0.103
"6","10-.002-.001-.","Plegaderus_saucius","Histeridae",1,NA,1,1,"*","s",0,"","",1,107.25,0.82,2.38,1.218,0.851,0.699,0.5,0.557,0.747,1.107,1.119,0.596,2.721,1.222,2.87,2.227,0.286,0.519,0.285,0.151,0.53,0.188,0.018,0.427,0.187,0.461,0.402,0.155,0.444,0.45,0.139,0.521,16,10.969,13.115,17.5,14.396,0.178,0.107,-0.028,0.313,-0.104,-0.358,0.112
"7","10-.002-.002-.","Plegaderus_vulneratus","Histeridae",2,NA,1,1,"*","mh",0,"","",1.5,109.84,0.548,2.027,0.957,0.655,0.684,0.363,0.457,0.644,0.859,0.925,0.528,2.962,1.318,3.327,2.248,0.165,0.41,0.144,0.079,0.545,0.119,0.013,0.458,0.175,0.444,0.424,0.154,0.45,0.534,0.148,0.513,10.471,8.526,10.638,2.427,8.016,0.081,-0.067,0.194,-0.081,0.112,-0.449,-0.216
"8","10-.002-.003-.","Plegaderus_caesus","Histeridae",1,NA,1,1,"*","mh",0,"","",1.45,106.97,0.288,1.283,0.82,0.525,0.64,0.377,0.38,0.453,0.691,0.686,0.388,1.692,0.575,0.935,2.943,0.308,0.38,0.107,0.013,0.121,0.076,0.005,0.286,0.091,0.285,0.291,0.085,0.271,0.321,0.082,0.292,0,0,0,0,0,0.336,0.393,0.025,0.995,0.058,-0.113,-0.278
"9","10-.002-.004-.","Plegaderus_dissectus","Histeridae",1,NA,1,1,"*","h",0,"","",1,106.55,0.171,1.746,0.841,0.518,0.616,0.385,0.426,0.477,0.724,0.745,0.387,1.913,0.812,1.212,2.356,0.141,0.477,0.211,0.103,0.488,0.145,0.012,0.296,0.116,0.325,0.324,0.105,0.306,0.332,0.096,0.309,40.936,34.188,35.8,46.729,39.413,0.085,0.131,-0.115,-0.089,-0.188,-0.163,0.111
"10","10-.002-.005-.","Plegaderus_discisus","Histeridae",1,NA,1,1,"R","es",0,"","",1,118.69,0.219,1.49,0.783,0.418,0.534,0.356,0.377,0.493,0.68,0.738,0.382,1.643,0.432,0.501,3.803,0.437,0.371,0.153,0.068,0.444,0.126,0.01,0.363,0.104,0.309,0.308,0.109,0.299,0.331,0.1,0.316,50.36,20.649,33.079,20.833,31.23,0.156,0.198,-0.132,1.198,0.16,-0.272,0.103
