Source	Family	Species	Live Weight (g)	MR (1br')
Qiu et al. 1994	Acrididae	Chorthippus dubius	0.083	1.44
Mispagel 1981	Acrididae	Bootettix punctitus	0.109	0.87
Fielding & DeFoliart, this study	Acrididae	Melanoplus sanquinipes	0.424	6.23
Mispagel 1981	Acrididae	Melanoplus complanipes	0.145	1.1
Harrison et al. 1991	Acrididae	Melanoplus bivittatus	1.5	14.11
Duke &Crossley 1975	Acrididae	Trimertropis saxatilis	0.155	1.16
Massion 1983	Acrididae	Trimertropis suffusa	0.175	0.82
Forlow & MacMahon 1988	Acrididae	Trimertropis pallidipermis	0.281	3.13
Mispagel 1981	Acrididae	Trimertropis sp.	0.223	2.01
Forlow & MacMahon 1988	Acrididae	Arphia pseudonietana	0.328	3.52
Forlow & MacMahon 1988	Acrididae	Arphia conspersa	0.381	3.88
Ashby 1997	Acrididae	Xanthippus corallipes	0.731	13.72
Bailey & Riegen 1973	Acrididae	Encoptolophus sordidus	0.233	1.65
Armstrong & Mordue 1985	Acrididae	Schistocerca gregaria	1.69	14.3
Kirkton et al. 2005	Acrididae	Schistocerca americana	1.782	22.87
Quinian & Hadley 1993	Romaleidae	Taeniopoda eques	2.043	8.75
Quinlan & Hadley 1993	Romaleidae	Romalea guttata	2.874	9.58
Mispagel 1981	Tanaoceridae	Tanaocerus koebelei	0.38	2.23
Nespolo et al. 2003	Mogoplistidae	Hophlosphyrum griseus	0.036	0.29
Prestwich & Walker 1981	Gryllidae	Oecanthus celerinictus	0.049	0.58
Prestwich & Walker 1981	Gryllidae	Oecanthus quadripunctatus	0.053	0.59
Van Hook 1971	Gryllidae	Allonemobius fasciatus	0.106	1.67
Full et al. 1990	FREE Gryllidae	Teleogryfus commodus	0.95	20.47
Prestwich & Walker 1981	Gryllidae	Anurogryllus arboreus	0.377	2.91
Hack 1997	Gryllidae	Acheta domesticus	0.369	4.13
Prestwich & O'Sullivan 2005	Gryllotalpidae	Scapteriscus borellii	0.863	4.35
Prestwich & O'Sullivan 2005	Gryllotalpidae	Scapteriscus vicinus	0.978	5.89
Mispagel 1981	Tettigoniidae	Insara covilleae	0.283	3.17
Stevens & Josephson 1977	Tettigoniidae	Euconocephalus nasurus	0.65	8.1
Stevens & Josephson 1977	Tettigoniidae	Neoconocephalus robustus	0.87	13.99
Van Hook 1971	Tettigoniidae	Conocephalus fasciatus	0.184	2.58
Bailey at al 1993	Tettigoniidae	Requena verticals	0.37	2.46
