"SYSTEM","RANK","FAMILY","NAME","SPECIES","AUTHORITY","FOREWING_LB","FOREWING_MED","FOREWING_UB","PRED_DRY_MASS","log_DRY_MASS","SE"
37,"Species","Hepialidae","Triodia sylvina","Triodia sylvina","(Linnaeus, 1761)",12,19,26,53.6624847708272,3.9827141497552,0.105236215678974
40,"Species","Hepialidae","Korscheltellus lupulina","Korscheltellus lupulina","(Linnaeus, 1758)",11,15.5,20,28.8037766743965,3.36050651307218,0.11143414903969
42,"Species","Hepialidae","Korscheltellus fusconebulosa","Korscheltellus fusconebulosa","(De Geer, 1778)",14,20,26,62.7694683579939,4.13946878261051,0.105634280868026
46,"Species","Hepialidae","Phymatopus hecta","Phymatopus hecta","(Linnaeus, 1758)",12,14,16,21.103818280864,3.04945398528891,0.118713080708102
49,"Subspecies","Hepialidae","Hepialus humuli humuli","Hepialus humuli","(Linnaeus, 1758)",21,28,35,175.518278863154,5.16774319054877,0.126186891197227
51,"Subspecies","Hepialidae","Hepialus humuli thulensis","Hepialus humuli","Newman, 1865",21,28,35,175.518278863154,5.16774319054877,0.126186891197227
2943,"Species","Cossidae","Cossus cossus","Cossus cossus","(Linnaeus, 1758)",32,37,42,411.374496376209,6.01950398301775,0.159397270357645
2948,"Species","Cossidae","Zeuzera pyrina","Zeuzera pyrina","(Linnaeus, 1761)",22,28.5,35,185.273646140718,5.22183390051464,0.127969619809469
2952,"Species","Cossidae","Phragmataecia castaneae","Phragmataecia castaneae","(Hübner, 1790)",15,19,23,53.6624847708272,3.9827141497552,0.105236215678974
2958,"Species","Sesiidae","Pennisetia hylaeiformis","Pennisetia hylaeiformis","(Laspeyres, 1801)",11,12,13,13.1755457911195,2.57836251984031,0.133806354079322
2962,"Species","Sesiidae","Sesia apiformis","Sesia apiformis","(Clerck, 1759)",17,19,21,53.6624847708272,3.9827141497552,0.105236215678974
2964,"Species","Sesiidae","Sesia bembeciformis","Sesia bembeciformis","(Hübner, [1806])",15,17,19,38.1987795757235,3.64280356682268,0.10712822930842
2968,"Species","Sesiidae","Paranthrene tabaniformis","Paranthrene tabaniformis","(Rottemburg, 1775)",13,13.5,14,18.8839587085794,2.93831281609933,0.121875482191097
2971,"Species","Sesiidae","Synanthedon scoliaeformis","Synanthedon scoliaeformis","(Borkhausen, 1789)",12,13.5,15,18.8839587085794,2.93831281609933,0.121875482191097
2973,"Species","Sesiidae","Synanthedon spheciformis","Synanthedon spheciformis","([Denis & Schiffermüller], 1775)",12,13,14,16.8268641016599,2.82297666295441,0.125433326040184
2975,"Species","Sesiidae","Synanthedon culiciformis","Synanthedon culiciformis","(Linnaeus, 1758)",12,13,14,16.8268641016599,2.82297666295441,0.125433326040184
2977,"Species","Sesiidae","Synanthedon formicaeformis","Synanthedon formicaeformis","(Esper, 1782)",9,10,11,7.54722221750107,2.02117957735064,0.15618360410698
2979,"Species","Sesiidae","Synanthedon flaviventris","Synanthedon flaviventris","(Staudinger, 1883)",8,8.5,9,4.59291253274748,1.52451436156282,0.178851117057592
2981,"Species","Sesiidae","Synanthedon andrenaeformis","Synanthedon andrenaeformis","(Laspeyres, 1801)",9,10,11,7.54722221750107,2.02117957735064,0.15618360410698
2984,"Species","Sesiidae","Synanthedon myopaeformis","Synanthedon myopaeformis","(Borkhausen, 1789)",9,10,11,7.54722221750107,2.02117957735064,0.15618360410698
2986,"Species","Sesiidae","Synanthedon vespiformis","Synanthedon vespiformis","(Linnaeus, 1761)",10,11,12,10.0991555091431,2.31245180739532,0.143990278952465
2988,"Species","Sesiidae","Synanthedon tipuliformis","Synanthedon tipuliformis","(Clerck, 1759)",8,9,10,5.46953205553267,1.69919306533989,0.170652408679368
2992,"Species","Sesiidae","Bembecia ichneumoniformis","Bembecia ichneumoniformis","([Denis & Schiffermüller], 1775)",9,10.5,12,8.76077639676394,2.17028453078849,0.149821107448475
2996,"Species","Sesiidae","Pyropteron chrysidiformis","Pyropteron chrysidiformis","(Esper, 1782)",9,10.5,12,8.76077639676394,2.17028453078849,0.149821107448475
2998,"Species","Sesiidae","Pyropteron muscaeformis","Pyropteron muscaeformis","(Esper, 1783)",6,7,8,2.53746304325928,0.931164780029048,0.208079580960589
3003,"Species","Limacodidae","Apoda limacodes","Apoda limacodes","(Hufnagel, 1766)",10,11.5,13,11.5686448583736,2.44829840888118,0.138660767540746
3009,"Species","Limacodidae","Heterogenea asella","Heterogenea asella","([Denis & Schiffermüller], 1775)",5,8,11,3.81615270218348,1.33924276908087,0.187770041896798
3017,"Species","Zygaenidae","Jordanita globulariae","Jordanita globulariae","(Hübner, 1793)",10,12.5,15,14.9261750369032,2.70311638562042,0.129404048227279
3021,"Subspecies","Zygaenidae","Adscita statices statices","Adscita statices","(Linnaeus, 1758)",11,13,15,16.8268641016599,2.82297666295441,0.125433326040184
3023,"Subspecies","Zygaenidae","Adscita geryon geryon","Adscita geryon","(Hübner, [1813])",9,10.5,12,8.76077639676394,2.17028453078849,0.149821107448475
3029,"Subspecies","Zygaenidae","Zygaena purpuralis purpuralis","Zygaena purpuralis","(Brünnich, 1763)",14,15,16,26.0573356683405,3.26029932811008,0.113508534148229
3030,"Subspecies","Zygaenidae","Zygaena purpuralis caledonensis","Zygaena purpuralis","Reiss, 1931",14,15,16,26.0573356683405,3.26029932811008,0.113508534148229
3032,"Subspecies","Zygaenidae","Zygaena purpuralis segontii","Zygaena purpuralis","Tremewan, 1958",14,15,16,26.0573356683405,3.26029932811008,0.113508534148229
3033,"Subspecies","Zygaenidae","Zygaena purpuralis sabulosa","Zygaena purpuralis","Tremewan, 1976",14,15,16,26.0573356683405,3.26029932811008,0.113508534148229
3035,"Subspecies","Zygaenidae","Zygaena loti loti","Zygaena loti","([Denis & Schiffermüller], 1775)",14,15,16,26.0573356683405,3.26029932811008,0.113508534148229
3037,"Subspecies","Zygaenidae","Zygaena loti scotica","Zygaena loti","(Rowland-Brown, 1919)",14,15,16,26.0573356683405,3.26029932811008,0.113508534148229
3039,"Subspecies","Zygaenidae","Zygaena exulans exulans","Zygaena exulans","(Hohenwarth, 1792)",10,13,16,16.8268641016599,2.82297666295441,0.125433326040184
3040,"Subspecies","Zygaenidae","Zygaena exulans subochracea","Zygaena exulans","White, 1872",10,13,16,16.8268641016599,2.82297666295441,0.125433326040184
3042,"Subspecies","Zygaenidae","Zygaena viciae viciae","Zygaena viciae","([Denis & Schiffermüller], 1775)",12,13,14,16.8268641016599,2.82297666295441,0.125433326040184
