ID,Order,Species,SurfaceArea,CHC,SA_V,Dilution,CHC_DW_ng_mg,CHC_SA_ng_mm2,n,body.mass
1,Diptera,Acanthiophilus helianthi,22.13,896,7.24,100,1281.2,40.5,1,0.699551201998127
2,Lepidoptera,Aglais urticae,285.51,4597,2.07,100,101.1,16.1,1,45.4669732937686
3,Hymenoptera,Ambyletes armatorius,413.17,59951,1.39,100,3306.6,145.1,1,18.130698300369
4,Hymenoptera,Ammophila sabulosa,633.26,80361,1.12,500,2335.6,126.9,1,34.4068736084946
5,Hymenoptera,Andrena ssp.,98.99,18541,2.36,200,1968.9,187.3,4,9.41684544669612
6,Hymenoptera,Anthophora bimaculata,260.14,42429,1.88,1000,1187.5,163.1,2,35.7295444210526
7,Lepidoptera,Apamea monoglypha,169.2,12182,1.87,100,651,72,1,18.7133640552995
8,Hymenoptera,Apis mellifera,281.08,43624,2.82,500,1664.6,155.2,15,26.2066658656734
9,Lepidoptera,Araschnia levana,126.29,9964,3.11,100,743.8,78.9,1,13.3964520032267
10,Lepidoptera,Argynnis aglaja,329.34,61620,1.93,100,1092.1,187.1,1,56.4229594359491
11,Lepidoptera,Autographa gamma,225.78,7880,1.61,100,270.4,34.9,10,29.1409837278107
12,Hymenoptera,Bombus hortorum,457.45,104024,1.54,1250,1843.4,227.4,3,56.4305793642183
13,Hymenoptera,Bombus humilis,359.5,90342,1.72,1000,2462.2,251.3,6,36.6917187880757
14,Hymenoptera,Bombus lapidarius,412.81,82438,1.61,1500,1812.3,199.7,35,45.4881404844673
15,Hymenoptera,Bombus pascuorum,369.72,117127,1.7,1250,2953.9,316.8,17,39.651747181692
16,Hymenoptera,Bombus pratorum,415.57,92257,1.62,1250,2037.8,222,4,45.2726175287074
17,Hymenoptera,Bombus ruderatus,414.79,157288,1.62,1500,3327,379.2,2,47.2763354373309
18,Hymenoptera,Bombus sylvarum,341.82,106374,1.78,500,3239.3,311.2,2,32.8386947797364
19,Hymenoptera,Bombus sylvestris,485.38,81544,1.5,1000,1420.8,168,2,57.3929054054054
20,Hymenoptera,Bombus terrestris,552.87,80443,1.38,1500,1113,145.5,17,72.2754582210243
21,Diptera,Botanophila fugax,34.91,1442,5.76,100,1038.2,41.3,1,1.3887333847043
22,Diptera,Chamaesyrphus illustrata,38.15,2476,3.36,100,719.4,64.9,2,3.44166666666667
23,Diptera,Cheilosia gigantea,82.02,2370,2.35,100,431.8,28.9,1,5.48952755905512
24,Diptera,Chloromyia formosa,63.03,8143,4.17,100,2120.3,129.2,1,3.84071876621233
25,Lepidoptera,Chrysaspidia festucae,207.86,11578,1.68,100,453.9,55.7,1,25.5073848865389
26,Diptera,Chrysogaster virescens,120.08,2209,2.35,100,379.4,18.4,2,5.82359515023722
27,Diptera,Chrysotoxum latilimbatum,161.43,29526,2.12,200,1962.8,182.9,2,15.0425652129611
28,Hymenoptera,Coelioxys cf elongata,143.86,24485,2.17,100,1477,170.2,2,16.5775030467163
