Species,Group,Family,Low.Mobility,Detri.,Mono.,Olig.,Poly.,Poll.,Pred.,Mass,Grassland_specialist
Acupalpus_meridianus,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.411597664,0
Adelphocoris_lineolatus,Heteroptera,Miridae,0,0,0,0,1,0,0,8.564179901,0
Agriotes_lineatus,Coleoptera,Elateridae,0,0,0,0,1,0,0,14.44826847,0
Agriotes_obscurus,Coleoptera,Elateridae,0,0,0,0,1,0,0,8.305722649,0
Agriotes_sputator,Coleoptera,Elateridae,0,0,0,0,1,0,0,5.983569633,0
Aleocharinae,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.336436156,0
Alopecosa_cuneata,Araneae,Lycosidae,0,0,0,0,0,0,1,5.983569633,1
Alopecosa_pulverulenta,Araneae,Lycosidae,0,0,0,0,0,0,1,9.647509482,0
Amara_aenea,Coleoptera,Carabidae,0,0,0,0,1,0,0,5.776794853,0
Amara_apricaria,Coleoptera,Carabidae,0,0,0,0,1,0,0,6.410701262,0
Amara_communis,Coleoptera,Carabidae,0,0,0,0,1,0,0,4.809328662,0
Amara_convexior,Coleoptera,Carabidae,0,0,0,0,1,0,0,6.856189593,0
Amara_familiaris,Coleoptera,Carabidae,0,0,0,0,1,0,0,3.949038531,0
Amara_lunicollis,Coleoptera,Carabidae,0,0,0,0,1,0,0,5.776794853,0
Amara_montivaga,Coleoptera,Carabidae,0,0,0,0,1,0,0,8.052144665,1
Amara_ovata,Coleoptera,Carabidae,0,0,0,0,1,0,0,8.827551933,0
Amara_similata,Coleoptera,Carabidae,0,0,0,0,1,0,1,8.827551933,0
Anchomenus_dorsalis,Coleoptera,Carabidae,0,0,0,0,0,0,1,4.28060299,0
Andrena_flavipes,Hymenoptera,Andrenidae,0,0,0,0,1,1,0,15.55657212,0
Andrena_minutula,Hymenoptera,Andrenidae,0,0,0,0,1,1,0,4.611217273,0
Andrena_minutuloides,Hymenoptera,Andrenidae,0,0,0,0,1,1,0,4.299250773,0
Anisodactylus_binotatus,Coleoptera,Carabidae,0,0,0,0,0,0,1,15.55500227,0
Aphrodes_albifrons,Homoptera,Cicadellidae,0,0,0,1,0,0,0,1.569338486,0
Aphrodes_bicinctus,Homoptera,Cicadellidae,0,0,0,1,0,0,0,3.482282554,0
Aphrodes_makarovi,Homoptera,Cicadellidae,0,0,0,0,1,0,0,4.28060299,0
Aphrodes_serratulae,Homoptera,Cicadellidae,0,0,0,1,0,0,0,1.007703722,0
Aphthona_euphorbiae,Coleoptera,Chrysomelidae,0,0,0,0,1,0,0,0.113268141,0
Aphthona_nigriceps,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.113268141,0
Apis_mellifera,Hymenoptera,Apidae,0,0,0,0,1,1,0,51.50320439,0
Arboridia_parvula,Homoptera,Cicadellidae,0,0,0,1,0,0,0,0.411597664,1
Argynnis_aglaja,Lepidoptera,Nymphalidae,0,0,0,1,0,1,0,1579.690764,0
Aricia_agestis,Lepidoptera,Lycaenidae,0,0,0,1,0,1,0,188.7356241,1
Arthaldeus_striifrons,Homoptera,Cicadellidae,0,0,0,1,0,0,0,0.874605877,0
Athous_bicolor,Coleoptera,Elateridae,0,0,0,0,1,0,0,9.647509482,0
Athysanus_argentarius,Homoptera,Cicadellidae,0,0,0,1,0,0,0,5.776794853,0
Badister_meridionalis,Coleoptera,Carabidae,0,0,0,0,0,0,1,2.530296939,0
Bathyphantes_gracilis,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.187498772,0
Bembecia_ichneumoniformis,Lepidoptera,Sesiidae,0,0,0,1,0,1,0,88.8207409,1
Bembidion_guttula,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.591108871,0
Bembidion_lampros,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.812377929,0
Bembidion_lunulatum,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.812377929,0
Bembidion_obtusum,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.642381141,0
Berytinus_crassipes,Heteroptera,Berytidae,0,0,0,1,0,0,0,1.569338486,1
Bombus_hortorum,Hymenoptera,Apidae,0,0,0,0,1,1,0,117.6594074,0
Bombus_lapidarius,Hymenoptera,Apidae,0,0,0,0,1,1,0,96.48452571,0
Bombus_lucorum,Hymenoptera,Apidae,0,0,0,0,1,1,0,76.06042196,0
Bombus_pascuorum,Hymenoptera,Apidae,0,0,0,0,1,1,0,88.42877701,0
Bombus_pratorum,Hymenoptera,Apidae,0,0,0,0,1,1,0,96.48452571,0
Brachinus_crepitans,Coleoptera,Carabidae,0,0,0,0,0,0,1,7.803410279,1
Bradycellus_verbasci,Coleoptera,Carabidae,0,0,0,0,0,0,1,2.068241512,0
Bruchus_loti,Coleoptera,Bruchidae,0,0,0,1,0,0,0,0.812377929,0
Calathus_fuscipes,Coleoptera,Carabidae,0,0,0,0,0,0,1,17.11004134,0
Calathus_melanocephalus,Coleoptera,Carabidae,0,0,0,0,0,0,1,5.574497601,0
Calathus_rotundicollis,Coleoptera,Carabidae,0,0,0,0,0,0,1,12.7145162,0
Calocoris_roseomaculatus,Heteroptera,Miridae,0,0,0,0,1,0,0,5.574497601,1
Calosirus_terminatus,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.411597664,1
Cassida_rubiginosa,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,4.540207734,0
Catapion_pubescens,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.175465008,0
Catapion_seniculus,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.163920879,0
Ceratapion_onopordi,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.391925958,0
Ceutorhynchus_assimilis,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.973333701,0
Chaetocnema_concinna,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.200029917,0
Cheilosia_sp.,Diptera,Syrphidae,0,0,0,0,1,1,0,1.858454279,0
Coenonympha_pamphilus,Lepidoptera,Satyridae,0,0,0,1,0,1,0,246.4151907,1
Curtonotus_convexiusculus,Coleoptera,Carabidae,0,0,0,0,0,0,1,22.81413848,0
Cyanapion_spencii,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.411597664,0
Deltocephalus_pulicaris,Homoptera,Cicadellidae,0,0,0,1,0,0,0,0.496343791,0
Drymus_sylvaticus,Heteroptera,Lygaeidae,0,0,0,1,0,0,0,1.569338486,0
Enoplognatha_ovata,Araneae,Theridiidae,0,0,0,0,0,0,1,1.569338486,0
Erigone_arcica,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.496343791,0
Erigone_atra,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.270412504,0
Eristalis_arbustorum,Diptera,Syrphidae,0,1,0,0,0,1,0,2.014491599,0
Eristalis_interruptus,Diptera,Syrphidae,0,1,0,0,0,1,0,6.631132386,0
Eristalis_tenax,Diptera,Syrphidae,0,1,0,0,0,1,0,1.078671265,0
Eupeodes_corollae,Diptera,Syrphidae,0,0,0,0,0,1,1,2.915358459,0
Eupteryx_origani,Homoptera,Cicadellidae,0,0,1,0,0,0,0,0.642381141,0
Eupteryx_vittata,Homoptera,Cicadellidae,0,0,0,1,0,0,0,0.642381141,0
Euscelis_incisus,Homoptera,Cicadellidae,0,0,0,1,0,0,0,0.812377929,0
Eutrichapion_ervi,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.240684024,0
Evacanthus_interruptus,Homoptera,Cicadellidae,0,0,0,0,1,0,0,3.482282554,0
Gabrius_breviventer,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,1.190781284,0
Glocianus_punctiger,Coleoptera,Curculionidae,0,0,1,0,0,0,0,0.806310765,0
Halictus_tumulorum,Hymenoptera,Halictidae,0,0,0,0,1,1,0,5.10375984,0
Harpalus_rufipes,Coleoptera,Carabidae,0,0,0,0,1,0,0,27.91093034,0
Helophilus_pendulus,Diptera,Syrphidae,0,1,0,0,0,1,0,1.435957851,0
Helophilus_trivittatus,Diptera,Syrphidae,0,1,0,0,0,1,0,0.542447269,0
Hesperia_comma,Lepidoptera,Hesperiidae,0,0,1,0,0,1,0,290.2728131,1
Himacerus_major,Heteroptera,Nabidae,0,0,0,0,0,0,1,7.803410279,0
Hylaeus_sp.,Hymenoptera,Colletidae,0,0,0,0,1,1,0,4.772097696,0
Hypera_nigrirostris,Coleoptera,Curculionidae,0,0,1,0,0,0,0,0.939698117,0
Hypera_postica,Coleoptera,Curculionidae,0,0,0,1,0,0,0,1.662361064,0
Hypera_zoilus,Coleoptera,Curculionidae,0,0,0,1,0,0,0,6.302208969,0
Hypsosinga_pygmaea,Araneae,Araneidae,0,0,0,0,0,0,1,0.642381141,0
Ischnopterapion_loti,Coleoptera,Apionidae,0,0,1,0,0,0,0,0.255280732,0
Ischnopterapion_virens,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.240684024,0
Javesella_pellucida,Homoptera,Delphacidae,0,0,0,0,1,0,0,0.812377929,0
Lasioglossum_albipes,Hymenoptera,Halictidae,0,0,0,0,1,1,0,6.467678917,0
Lasioglossum_calceatum,Hymenoptera,Halictidae,0,0,0,0,1,1,0,8.364141852,0
Lasioglossum_fulvicorne,Hymenoptera,Halictidae,0,0,0,0,1,1,0,3.713886004,0
Lasioglossum_leucozonium,Hymenoptera,Halictidae,0,0,0,0,1,1,0,8.59292423,0
Lasioglossum_pauxillum,Hymenoptera,Halictidae,0,0,0,0,1,1,0,3.242952906,0
Lasioglossum_sp.,Hymenoptera,Halictidae,0,0,0,0,1,1,0,5.188753587,0
Lasius_alienus,Hymenoptera,Formicidae,0,0,0,0,0,0,1,1.007703722,0
Lasius_flavus,Hymenoptera,Formicidae,0,0,0,0,0,0,1,1.30982411,1
Lasius_niger,Hymenoptera,Formicidae,0,0,0,0,0,0,1,0.812377929,0
Lema_cyanella,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.812377929,0
Lepthyphantes_tenuis,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.372846449,0
Leptopterna_dolabrata,Heteroptera,Miridae,0,0,0,1,0,0,0,5.183185034,0
Longitarsus_atricillus,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.336436156,0
Longitarsus_flavicornis,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.474234748,0
