"","Species","N","Live Mass (mg)","Temperature (C)","Metabolic Rate (Jh-1)","Reference","Notes"
"1","Allolobophora caliginosa","50","875","19","1.40","Byzova 1965",""
"2","Allolobophora rosea","","335","6",".461","Phillipson and Bolton 1976",""
"3","Allolobophora rosea","","335","10",".692","Phillipson and Bolton 1976",""
"4","Allolobophora rosea","","335","15",".879","Phillipson and Bolton 1976",""
"5","Dendrobaena octaedra","60","230","19",".847","Byzova 1965",""
"6","Eisenia foetida","","335","15",".704","Mitchell 1979b",""
"7","Eisenia foetida","60","335","19",".631","Byzova 1965",""
"8","Eisenia rosea","65","335","19",".629","Byzova 1965",""
"9","Eiseniella tetraedra","24","110","19",".312","Byzova 1965",""
"10","Glossoscolex paulistus","17","10,200","15","8.65","Abe and Buck 1985",""
"11","Glossoscolex paulistus","26","9,500","20","8.87","Abe and Buck 1985",""
"12","Glossoscolex paulistus","18","10,000","25","10.5","Abe and Buck 1985",""
"13","Glossoscolex paulistus","17","10,400","30","14.3","Abe and Buck 1985",""
"14","Glossoscolex paulistus","16","10,500","35","15.7","Abe and Buck 1985",""
"15","Lumbricus castaneus","","1,500","11","2.05","Gromadska 1962",""
"16","Lumbricus castaneus","","1,500","14","1.67","Gromadska 1962",""
"17","Lumbricus castaneus","","1,500","17","2.20","Gromadska 1962",""
"18","Lumbricus castaneus","42","240","19",".697","Byzova 1965",""
"19","Lumbricus castaneus","","1,500","20","1.75","Gromadska 1962",""
"20","Lumbricus castaneus","","1,500","23","2.12","Gromadska 1962",""
"21","Lumbricus castaneus","","1,500","26","2.72","Gromadska 1962",""
"22","Lumbricus rubellus","63","745","19","1.47","Byzova 1965",""
"23","Lumbricus terrestris","","4,300","5","2.44","Fitzpatrick et al. 1987",""
"24","Lumbricus terrestris","","4,300","10","3.28","Fitzpatrick et al. 1987",""
"25","Lumbricus terrestris","","4,300","15","3.77","Fitzpatrick et al. 1987",""
"26","Lumbricus terrestris","18","2,600","19","3.32","Byzova 1965",""
"27","Lumbricus terrestris","","4,300","20","5.61","Fitzpatrick et al. 1987",""
"28","Octolasium lacteum","24","1,075","19","1.52","Byzova 1965",""
"29","Armadillidium nasatum","","30.0","20",".0782","Riechle 1968",""
"30","Armadillidium vulgare","","6.00","5",".00721","Al-Dabbagh 1976","Cited in Al-Dabbagh and"
"31","Armadillidium vulgare","","6.00","10",".0159","Al-Dabbagh 1976","Cited in Al-Dabbagh and"
"32","Armadillidium vulgare","","74.0","10",".125","Edney 1964","Cited in Al-Dabbagh and"
"33","Armadillidium vulgare","","6.00","15",".0233","Al-Dabbagh 1976","Cited in Al-Dabbagh and"
"34","Armadillidium vulgare","","6.00","20",".0283","Al-Dabbagh 1976","Cited in Al-Dabbagh and"
"35","Armadillidium vulgare","","74.0","20",".207","Edney 1964","Cited in Al-Dabbagh and"
"36","Armadillidium vulgare","","65.5","20",".194","Riechle 1968",""
"37","Armadillidium vulgare","","2.00","20",".0101","Saito 1969","Cited in Al-Dabbagh and"
"38","Armadillidium vulgare","","6.00","25",".0364","Al-Dabbagh 1976","Cited in Al-Dabbagh and"
"39","Armadillidium vulgare","","74.0","30",".351","Edney 1964","Cited in Al-Dabbagh and"
"40","Burmoniscus ocellatus","18","7.94","23",".0395","Lam et al. 1991",""
"41","Burmoniscus sp.","26","7.94","23",".0386","Lam et al. 1991",""
"42","Cylisticus convexus","","34.8","20",".144","Riechle 1968",""
"43","Oniscus asellus","","10.1","16",".0840","Phillipson and Watson 1965","Immature"
"44","Oniscus asellus","","56.9","16",".206","Phillipson and Watson 1965","Adult male"
"45","Oniscus asellus","","68.3","16",".338","Phillipson and Watson 1965","Adult female"
"46","Orodillo maculatus","27","15.8","23",".0704","Lam et al. 1991",""
"47","Philoscia muscorum","","20.0","19",".0945","Hassall 1983",""
"48","Philosciidae","8","45.8","25",".227","Humphreys and Collis 1990",""
"49","Porcellio laevis","38","80.0","5",".113","Lardies et al. 2004","Low elevation"
"50","Porcellio laevis","18","70.0","5",".0667","Lardies et al. 2004","High elevation"
"51","Porcellio laevis","90","60.0","10",".0941","Edney 1964","Cited in Al-Dabbagh and"
"52","Porcellio laevis","34","80.0","12",".208","Lardies et al. 2004","Low elevation"
"53","Porcellio laevis","23","70.0","12",".297","Lardies et al. 2004","High elevation"
"54","Porcellio laevis","64","60.0","18",".432","Lardies et al. 2004","Low elevation"
"55","Porcellio laevis","62","70.0","18",".541","Lardies et al. 2004","High elevation"
"56","Porcellio laevis","","60.0","20",".177","Edney 1964","Cited in Al-Dabbagh and"
"57","Porcellio laevis","98","60.0","25",".917","Lardies et al. 2004","Low elevation"
"58","Porcellio laevis","139","70.0","25","1.20","Lardies et al. 2004","High elevation"
"59","Porcellio laevis","","60.0","30",".290","Edney 1964","Cited in Al-Dabbagh and"
"60","Porcellio scaber","","2.00","20",".0101","Saito 1969","Cited in Al-Dabbagh and"
"61","Porcellio scaber","","60.0","20",".136","Wieser 1965","Cited in Al-Dabbagh and"
"62","Porcellionides pruinosus","51","15.0","15",".0594","Al-Dabbagh and Marina 1986",""
"63","Porcellionides pruinosus","49","15.0","20",".0820","Al-Dabbagh and Marina 1986",""
"64","Porcellionides pruinosus","","25.0","20",".157","Cloudsley-Thompson 1969","Cited in Al-Dabbagh and"
"65","Porcellionides pruinosus","","18.4","20",".124","Riechle 1968",""
"66","Porcellionides pruinosus","30","15.0","25",".0970","Al-Dabbagh and Marina 1986",""
"67","Porcellionides pruinosus","53","15.0","30",".0984","Al-Dabbagh and Marina 1986",""
"68","Porcellionides pruinosus","","25.0","34",".556","Cloudsley-Thompson 1969","Cited in Al-Dabbagh and"
"69","Porcellionides pruinosus","53","15.0","35",".186","Al-Dabbagh and Marina 1986",""
"70","Spherillo raffaelei","31","10.0","23",".0301","Lam et al. 1991",""
"71","Achipteria coleoptrata","8",".0405","5",".0000941","Luxton 1975","Male and female"
"72","Achipteria coleoptrata","10",".0405","10",".000126","Luxton 1975","Male and female"
"73","Achipteria coleoptrata","9",".0405","15",".000363","Luxton 1975","Male and female"
"74","Achipteria coleoptrata","11",".0405","20",".000494","Luxton 1975","Male and female"
"75","Achipteria holomonensis","16",".0100","5",".0000279","Stamou 1986","Immature"
"76","Achipteria holomonensis","22",".0100","10",".0000669","Stamou 1986","Immature"
"77","Achipteria holomonensis","15",".0100","15",".000122","Stamou 1986","Immature"
"78","Achipteria oudemansi","23",".0370","7",".0000261","Stamou et al. 1995","Adult"
"79","Achipteria oudemansi","24",".0370","11",".0000277","Stamou et al. 1995","Adult"
"80","Achipteria oudemansi","18",".0370","15",".0000527","Stamou et al. 1995","Adult"
"81","Achipteria oudemansi","19",".0370","19",".0000875","Stamou et al. 1995","Adult"
"82","Achipteria oudemansi","24",".0370","24",".0000889","Stamou et al. 1995","Adult"
"83","Achipteria oudemansi","23",".0370","29",".0000917","Stamou et al. 1995","Adult"
"84","Adoristes ovatus","5",".0345","5",".0000662","Luxton 1975","Male and female"
"85","Adoristes ovatus","8",".0345","10",".000108","Luxton 1975","Male and female"
"86","Adoristes ovatus","7",".0345","15",".000197","Luxton 1975","Male and female"
"87","Adoristes ovatus","6",".0345","20",".000344","Luxton 1975","Male and female"
"88","Belba corynopus","9",".0590","5",".000133","Luxton 1975","Male and female"
"89","Belba corynopus","9",".0590","10",".000215","Luxton 1975","Male and female"
"90","Belba corynopus","7",".0590","15",".000329","Luxton 1975","Male and female"
"91","Belba corynopus","8",".0590","20",".000539","Luxton 1975","Male and female"
"92","Carabodes coriaceus","3",".0750","5",".0000429","Berthet 1964","Male and female; cited"
"93","Carabodes coriaceus","3",".0750","10",".0000926","Berthet 1964","Male and female; cited"
"94","Carabodes coriaceus","3",".0750","15",".000152","Berthet 1964","Male and female; cited"
"95","Carabodes marginatus","2",".0426","5",".0000287","Berthet 1964","Male and female; cited"
"96","Carabodes marginatus","2",".0426","10",".0000387","Berthet 1964","Male and female; cited"
"97","Carabodes marginatus","2",".0426","15",".0000750","Berthet 1964","Male and female; cited"
"98","Ceratoppia bipilis","3",".0903","10",".000307","Wood and Lawton 1973","Gravid"
"99","Ceratoppia bipilis","3",".0645","10",".000170","Wood and Lawton 1973","Adult"
"100","Ceratozetes gracilis","6",".0240","5",".0000499","Luxton 1975","Male and female"
"101","Ceratozetes gracilis","7",".0240","10",".000118","Luxton 1975","Male and female"
"102","Ceratozetes gracilis","3",".0200","10",".0000970","Wood and Lawton 1973","Adult"
"103","Ceratozetes gracilis","10",".0240","15",".000216","Luxton 1975","Male and female"
"104","Ceratozetes gracilis","7",".0282","15",".000109","Mitchell 1979a",""
"105","Ceratozetes gracilis","10",".0240","20",".000314","Luxton 1975","Male and female"
"106","Ceratozetes kananaskis","3",".00810","5",".0000103","Mitchell 1979a",""
"107","Ceratozetes kananaskis","3",".00810","10",".0000184","Mitchell 1979a",""
"108","Ceratozetes kananaskis","10",".00810","15",".0000364","Mitchell 1979a",""
"109","Ceratozetes kananaskis","6",".00810","20",".0000453","Mitchell 1979a",""
"110","Chamobates cuspidatus","8",".00650","5",".0000164","Berthet 1964","Male and female; cited"
"111","Chamobates cuspidatus","9",".00650","10",".0000417","Berthet 1964","Male and female; cited"
"112","Chamobates cuspidatus","9",".00650","15",".0000939","Berthet 1964","Male and female; cited"
"113","Chamobates sp.","10",".00720","10",".0000788","Wood and Lawton 1973","Adult"
"114","Damaeus clavipes","11",".133","5",".000225","Luxton 1975","Male and female"
"115","Damaeus clavipes","6",".133","10",".000319","Luxton 1975","Male and female"
"116","Damaeus clavipes","1",".258","10",".000653","Wood and Lawton 1973","Adult"
"117","Damaeus clavipes","6",".133","15",".000477","Luxton 1975","Male and female"
"118","Damaeus clavipes","12",".133","20",".000995","Luxton 1975","Male and female"
"119","Damaeus onustus","6",".680","10",".000766","Wood and Lawton 1973","Adult"
"120","Damaeus onustus","10",".781","10",".000653","Wood and Lawton 1973","Gravid"
"121","Damaeus onustus","6",".353","10",".000531","Wood and Lawton 1973","Tritonymph"
"122","Damaeus onustus","8",".214","10",".000376","Wood and Lawton 1973","Deutonymph"
"123","Damaeus onustus","9",".100","10",".000265","Wood and Lawton 1973","Protonymph"
"124","Damaeus onustus","10",".0331","10",".000147","Wood and Lawton 1973","Larvae"
"125","Damaeus onustus","6",".625","18",".00106","Zinkler 1966","Male and female"
"126","Eupterotegaeus rostratus","4",".0347","15",".000105","Mitchell 1979a",""
"127","Euzetes globulus","1",".330","0",".0000826","Berthet 1964","Male and female; cited"
"128","Euzetes globulus","4",".330","5",".000206","Berthet 1964","Male and female; cited"
"129","Euzetes globulus","4",".330","10",".000387","Berthet 1964","Male and female; cited"
"130","Euzetes globulus","9",".348","10",".000919","Wood and Lawton 1973","Adult"
"131","Euzetes globulus","7",".330","15",".000754","Berthet 1964","Male and female; cited"
"132","Euzetes globulus","10",".320","18",".00104","Zinkler 1966","Male and female"
"133","Euzetes globulus","4",".330","25",".00209","Berthet 1964","Male and female; cited"
"134","Galumna sp.","4",".0445","10",".000119","Wood and Lawton 1973","Adult"
"135","Hemileius initialis","5",".0210","5",".0000560","Luxton 1975","Male and female"
"136","Hemileius initialis","7",".0210","10",".0000988","Luxton 1975","Male and female"
"137","Hemileius initialis","9",".0210","15",".000160","Luxton 1975","Male and female"
"138","Hemileius initialis","6",".0210","20",".000245","Luxton 1975","Male and female"
"139","Hypochthonius rufulus","4",".0221","0",".0000213","Berthet 1964","Male and female; cited"
"140","Hypochthonius rufulus","9",".0221","5",".0000346","Berthet 1964","Male and female; cited"
"141","Hypochthonius rufulus","9",".0221","10",".0000841","Berthet 1964","Male and female; cited"
"142","Hypochthonius rufulus","12",".0221","15",".000156","Berthet 1964","Male and female; cited"
"143","Liacarus coracinus","2",".0900","5",".000153","Berthet 1964","Male and female; cited"
"144","Liacarus coracinus","2",".0900","10",".000239","Berthet 1964","Male and female; cited"
"145","Liacarus coracinus","2",".0900","15",".000568","Berthet 1964","Male and female; cited"
"146","Liacarus xylariae","8",".113","10",".000263","Wood and Lawton 1973","Adult"
"147","Liacarus xylariae","10",".207","10",".000374","Wood and Lawton 1973","Gravid"
"148","Metabelba papillipes","8",".0190","10",".0000990","Wood and Lawton 1973","Adult"
"149","Nanhermannia elegantula","7",".0181","5",".0000169","Berthet 1964","Male and female; cited"
"150","Nanhermannia elegantula","8",".0181","10",".0000428","Berthet 1964","Male and female; cited"
"151","Nanhermannia elegantula","7",".0181","15",".0000690","Berthet 1964","Male and female; cited"
"152","Nothrus palustris","5",".247","10",".000440","Wood and Lawton 1973","Adult"
"153","Nothrus palustris","4",".0703","10",".000137","Wood and Lawton 1973","Tritonymph"
"154","Nothrus palustris","4",".0375","10",".000121","Wood and Lawton 1973","Deutonymph"
"155","Nothrus palustris","2",".0220","10",".0000505","Wood and Lawton 1973","Protonymph"
"156","Nothrus palustris","5",".00900","10",".0000505","Wood and Lawton 1973","Larvae"
"157","Nothrus silvestris","2",".0472","5",".0000497","Berthet 1964","Male and female; cited"
"158","Nothrus silvestris","11",".0524","5",".0000621","Webb 1969","Adult male and female"
"159","Nothrus silvestris","2",".0472","10",".000106","Berthet 1964","Male and female; cited"
"160","Nothrus silvestris","8",".0524","10",".000126","Webb 1969","Adult male and female"
"161","Nothrus silvestris","11",".0300","10",".0000958","Webb 1969","Tritonymph"
"162","Nothrus silvestris","18",".0129","10",".0000444","Webb 1969","Deutonymph"
"163","Nothrus silvestris","11",".00680","10",".0000293","Webb 1969","Protonymph"
"164","Nothrus silvestris","15",".00350","10",".0000111","Webb 1969","Larvae"
"165","Nothrus silvestris","2",".0472","15",".000205","Berthet 1964","Male and female; cited"
"166","Nothrus silvestris","5",".0524","15",".000146","Webb 1969","Adult male and female"
"167","Nothrus silvestris","7",".0524","20",".000264","Webb 1969","Adult male and female"
"168","Oppia nova","1",".00170","5",".00000341","Berthet 1964","Male and female; cited"
"169","Oppia nova","1",".00170","10",".00000431","Berthet 1964","Male and female; cited"
"170","Oppia nova","1",".00170","15",".0000129","Berthet 1964","Male and female; cited"
"171","Oppia subpectinata","9",".00320","5",".00000790","Berthet 1964","Male and female; cited"
"172","Oppia subpectinata","10",".00320","10",".0000144","Berthet 1964","Male and female; cited"
"173","Oppia subpectinata","11",".00320","15",".0000291","Berthet 1964","Male and female; cited"
"174","Oribatella quadricornuta","5",".0240","5",".0000197","Berthet 1964","Male and female; cited"
"175","Oribatella quadricornuta","7",".0240","10",".0000495","Berthet 1964","Male and female; cited"
"176","Oribatella quadricornuta","7",".0240","15",".000105","Berthet 1964","Male and female; cited"
"177","Parachipteria willmanni","9",".0396","5",".0000466","Berthet 1964","Male and female; cited"
"178","Parachipteria willmanni","9",".0396","10",".000120","Berthet 1964","Male and female; cited"
"179","Parachipteria willmanni","5",".0738","10",".000196","Wood and Lawton 1973","Adult"
"180","Parachipteria willmanni","5",".0926","10",".000226","Wood and Lawton 1973","Gravid"
"181","Parachipteria willmanni","8",".0266","10",".000129","Wood and Lawton 1973","Tritonymph"
"182","Parachipteria willmanni","7",".0131","10",".000119","Wood and Lawton 1973","Deutonymph"
"183","Parachipteria willmanni","6",".0122","10",".0000606","Wood and Lawton 1973","Protonymph"
"184","Parachipteria willmanni","5",".00610","10",".0000404","Wood and Lawton 1973","Larvae"
"185","Parachipteria willmanni","11",".0396","15",".000226","Berthet 1964","Male and female; cited"
"186","Phthiracarus piger","8",".320","18",".000491","Luxton 1975","Male and female"
"187","Phthiracarus piger","8",".350","18",".000537","Zinkler 1966","Male and female"
"188","Phthiracarus sp.","11",".0581","10",".000113","Wood and Lawton 1973","Adult"
