domain,phylum,Species,original.species,min.mass.g,max.mass.g,a,b,Temp.scaling,air.or.water,mass.type,K..1.y.,Linfinity,Temp.growth,annual.repro.g,tmax,Wmax,Reference,notes
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.6903,12,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.8128,4,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.753,2,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.8471,4,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.7221,5,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.7469,7,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.7749,10,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.6232,15,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Asellus_aquaticus,Asellus_aquaticus,2.00E-05,0.00917,NA,0.7151,18,aquatic,dry,NA,NA,NA,NA,NA,NA,Adcock (1982),ready for digitisation
Eukaryota,Arthropoda,Drosophila_melanogaster,Drosophila_melanogaster,NA,NA,NA,0.9957582,16,aerial,dry,NA,NA,NA,NA,NA,NA,Alton et al. (2017),ready for digitisation
Eukaryota,Arthropoda,Drosophila_melanogaster,Drosophila_melanogaster,NA,NA,NA,0.9947382,20.5,aerial,dry,NA,NA,NA,NA,NA,NA,Alton et al. (2017),ready for digitisation
Eukaryota,Arthropoda,Drosophila_melanogaster,Drosophila_melanogaster,NA,NA,NA,0.9484277,25,aerial,dry,NA,NA,NA,NA,NA,NA,Alton et al. (2017),ready for digitisation
Eukaryota,Arthropoda,Drosophila_melanogaster,Drosophila_melanogaster,NA,NA,NA,0.3477915,16,aerial,dry,NA,NA,NA,NA,NA,NA,Alton et al. (2017),ready for digitisation
Eukaryota,Arthropoda,Drosophila_melanogaster,Drosophila_melanogaster,NA,NA,NA,1.582321,20.5,aerial,dry,NA,NA,NA,NA,NA,NA,Alton et al. (2017),ready for digitisation
Eukaryota,Arthropoda,Drosophila_melanogaster,Drosophila_melanogaster,NA,NA,NA,0.5830099,25,aerial,dry,NA,NA,NA,NA,NA,NA,Alton et al. (2017),ready for digitisation
Eukaryota,Arthropoda,Parasteatoda_tepidariorum,Achaearanea_tepidariorum,0.002,0.166,0.4557,0.93,20,aerial,wet,NA,NA,NA,NA,NA,NA,Anderson (1994),no temperature dependence 
Eukaryota,Arthropoda,Argyrodes_elevatus,Argyrodes_elevatus,0.0042,0.0196,0.572,1.04,20,aerial,wet,NA,NA,NA,NA,NA,NA,Anderson (1994),no temperature dependence 
