"","Species","Suborder","Area","Wing","Mass","Hab","Beh","Spot","Ref"
"1","Acisoma panorpoides","A","1.3","22.0","99.65","Lotic","P","No","[1]"
"2","Aeshna cyanea","A","110.0","48.0","562.33","Lotic","F","No","[2]"
"3","Aeshna mixta","A","10.0","43.2","445.15","Lotic","F","No","[3]"
"4","Agriocnemis femina","Z","0.2","9.7","9.47","Lotic","P","No","[4]"
"5","Anax papuensis","A","1800.0","50.3","623.85","Lotic","F","No","[5]"
"6","Anax parthenope","A","1590.0","48.0","562.33","Lotic","F","No","[6]"
"7","Anax walsinghami","A","28.0","61.5","974.37","Lentic","F","No","[7]"
"8","Argia chelata","Z","2.5","22.7","45.86","Lentic","P","No","[8]"
"9","Austrolestes colensonis","Z","7.1","24.3","52.04","Lotic","P","No","[54]"
"10","Brechmorhoga pertinax","A","10.0","32.5","236.79","Lentic","F","No","[9]"
"11","Brechmorhoga vivax","A","42.8","35.0","279.09","Lentic","F","No","[10]"
"12","Cacoides latro","A","53.0","43.2","445.10","Lotic","P","No","[11]"
"13","Calopteryx haemorrhoidalis","Z","5.4","32.2","87.71","Lentic","P","Yes","[12]"
"14","Calopteryx splendens","Z","2.3","31.5","84.21","Lentic","P","Yes","[13]"
"15","Calopteryx virgo","Z","1.3","30.0","76.92","Lentic","P","Yes","[13]"
"16","Chalcolestes viridis","Z","6.0","25.9","58.57","Lotic","P","No","[14]"
"17","Copera annulata","Z","0.2","23.1","47.37","Lotic","P","No","[15]"
"18","Copera marginipes","Z","0.2","18.6","31.69","Lentic","P","No","[16]"
"19","Copera vittata","Z","0.2","17.0","26.80","Lentic","P","No","[16]"
"20","Cordulia aenea","A","30.0","36.6","308.18","Lotic","F","No","[17]"
"21","Cordulia shurtleffii","A","35.0","30.5","205.67","Lotic","F","No","[18]"
"22","Coryphaeschna adnexa","A","3.0","43.5","452.03","Lotic","F","No","[19]"
"23","Coryphaeschna diapyra","A","12.0","49.8","610.18","Lentic","F","No","[20]"
"24","Crocothemis servilia","A","4.3","35.6","289.81","Lotic","P","Yes","[21]"
"25","Disparoneura quadrimaculata","Z","1.0","21.7","42.18","Lentic","P","Yes","[14]"
"26","Epitheca cynosura","A","12.0","26.9","155.66","Lentic","F","No","[22]"
"27","Epitheca princeps","A","9.0","45.1","489.74","Lentic","F","Yes","[23]"
"28","Erythemis simplicicollis","A","13.0","30.9","211.70","Lotic","P","No","[24]"
"29","Erythromma lindenii","Z","0.5","21.1","40.04","Lotic","P","No","[14]"
"30","Hemicordulia ogasawarensis","A","37.5","32.5","236.79","Lotic","F","No","[6]"
"31","Hetaerina americana","Z","2.5","28.0","67.68","Lentic","P","Yes","[25]"
"32","Hetaerina miniata","Z","1.1","27.6","65.92","Lotic","P","Yes","[14]"
"33","Ictinogomphus ferox","A","50.0","41.5","407.22","Lotic","P","No","[26]"
"34","Ladona julia","A","35.0","31.0","213.23","Lotic","P","No","[27]"
"35","Leucorrhinia caudalis","A","13.0","32.0","228.78","Lotic","P","No","[28]"
"36","Leucorrhinia frigida","A","12.6","22.5","104.75","Lotic","P","No","[29]"
"37","Leucorrhinia hudsonica","A","1.0","24.5","126.52","Lotic","P","No","[30]"
"38","Leucorrhinia intacta","A","12.6","24.0","120.87","Lotic","P","No","[29]"
"39","Leucorrhinia proxima","A","12.6","25.5","138.26","Lotic","P","No","[29]"
"40","Libellago aurantiaca","Z","4.0","16.3","24.81","Lentic","P","Yes","[31]"
"41","Libellago hyalina","Z","5.0","17.0","26.82","Lentic","P","No","[31]"
"42","Libellago semiopaca","Z","4.9","17.3","27.71","Lentic","P","Yes","[31]"
