"","doi","Class","Order","Suborder","Family","Genus","Species","Accession","Level","Trait","Collection","Estimate","Value","Metric","Adjusted_Value","Adjusted_Metric","Converted_Value","Converted_Metric","Conversion_Citation"
"1","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Abrostola","Abrostola tripartita","GCA_905340225.1","Chromosome","mass","Dry","Yes",38.4138171940784,"mg",38.4138171940784,"mg",38.4138171940784,"mg",NA
"2","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Abrostola","Abrostola triplasia","GCA_946251915.1","Chromosome","mass","Dry","Yes",38.4138171940784,"mg",38.4138171940784,"mg",38.4138171940784,"mg",NA
"3","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Crambidae","Acentria","Acentria ephemerella","GCA_943193645.1","Chromosome","mass","Dry","Yes",1.70654460934462,"mg",1.70654460934462,"mg",1.70654460934462,"mg",NA
"8","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Drepanidae","Achlya","Achlya flavicornis","GCA_947623365.1","Chromosome","mass","Dry","Yes",49.4624985678796,"mg",49.4624985678796,"mg",49.4624985678796,"mg",NA
"9","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Drepanidae","Achlya","Achlya flavicornis","GCA_947623365.1","Chromosome","mass","Dry","Yes",49.4624985678796,"mg",49.4624985678796,"mg",49.4624985678796,"mg",NA
"10","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Drepanidae","Achlya","Achlya flavicornis","GCA_947623365.1","Chromosome","mass","Dry","Yes",49.4624985678796,"mg",49.4624985678796,"mg",49.4624985678796,"mg",NA
"14","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Pyralidae","Acrobasis","Acrobasis consociella","GCA_963555685.1","Chromosome","mass","Dry","Yes",7.54722221750107,"mg",7.54722221750107,"mg",7.54722221750107,"mg",NA
"15","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Pyralidae","Acrobasis","Acrobasis repandana","GCA_963576875.1","Chromosome","mass","Dry","Yes",7.54722221750107,"mg",7.54722221750107,"mg",7.54722221750107,"mg",NA
"16","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Pyralidae","Acrobasis","Acrobasis suavella","GCA_943193695.1","Chromosome","mass","Dry","Yes",10.0991555091431,"mg",10.0991555091431,"mg",10.0991555091431,"mg",NA
"17","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Acronicta","Acronicta aceris","GCA_910591435.1","Chromosome","mass","Dry","Yes",56.8759874946079,"mg",56.8759874946079,"mg",56.8759874946079,"mg",NA
"18","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Acronicta","Acronicta leporina","GCA_947256265.1","Chromosome","mass","Dry","Yes",49.5884316978382,"mg",49.5884316978382,"mg",49.5884316978382,"mg",NA
"19","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Acronicta","Acronicta psi","GCA_946251955.1","Chromosome","mass","Dry","Yes",49.5884316978382,"mg",49.5884316978382,"mg",49.5884316978382,"mg",NA
"20","https://doi.org/10.1371/journal.pone.0084308","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Acyrthosiphon","Acyrthosiphon pisum","GCF_005508785.1","Chromosome","mass","Dry","No",0.7,"mg",0.7,"mg",0.7,"mg",NA
"21","https://doi.org/10.7717/peerj.12799/supp-1","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia bipunctata","GCA_910592335.1","Chromosome","mass","Live","Yes",2.64,"mg",2.64,"mg",2.64,"mg",NA
"22","https://doi.org/10.7717/peerj.12799/supp-1","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia bipunctata","GCA_910592335.1","Chromosome","mass","Live","Yes",3.13,"mg",3.13,"mg",3.13,"mg",NA
"23","https://doi.org/10.7717/peerj.12799/supp-1","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia bipunctata","GCA_910592335.1","Chromosome","mass","Live","Yes",6.75,"mg",6.75,"mg",6.75,"mg",NA
"24","https://doi.org/10.7717/peerj.12799/supp-1","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia bipunctata","GCA_910592335.1","Chromosome","mass","Live","Yes",5.15,"mg",5.15,"mg",5.15,"mg",NA
"25","https://doi.org/10.1371/journal.pone.0084308","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia bipunctata","GCA_910592335.1","Chromosome","mass","Dry","No",1.97,"mg",1.97,"mg",1.97,"mg",NA
"26","https://doi.org/10.1002%2Fece3.2732","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia bipunctata","GCA_910592335.1","Chromosome","size","NA","No",5,"mm",5,"mm",2.14675682422337,"mg","Sample_et_al_1993"
"27","https://doi.org/10.7717/peerj.12799/supp-1","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia bipunctata","GCA_910592335.1","Chromosome","mass","Live","Yes",3.75,"mg",3.75,"mg",3.75,"mg",NA
"28","https://doi.org/10.1002%2Fece3.2732","Insecta","Coleoptera","Polyphaga","Coccinellidae","Adalia","Adalia decempunctata","GCA_951802165.1","Chromosome","size","NA","No",4.25,"mm",4.25,"mm",1.43184106910833,"mg","Sample_et_al_1993"
"29","https://doi.org/10.1371/journal.pone.0084308","Insecta","Diptera","Nematocera","Culicidae","Aedes","Aedes albopictus","GCA_035046485.1","Chromosome","mass","Dry","No",0.91,"mg",0.91,"mg",0.91,"mg",NA
"30","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.3,"mg",7.3,"mg",7.3,"mg",NA
"31","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.8,"mg",7.8,"mg",7.8,"mg",NA
"32","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",10.8,"mg",10.8,"mg",10.8,"mg",NA
"33","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",13.4,"mg",13.4,"mg",13.4,"mg",NA
"34","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.2,"mg",7.2,"mg",7.2,"mg",NA
"35","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",6.5,"mg",6.5,"mg",6.5,"mg",NA
"36","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",18.7,"mg",18.7,"mg",18.7,"mg",NA
"37","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",11.4,"mg",11.4,"mg",11.4,"mg",NA
"38","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",15.4,"mg",15.4,"mg",15.4,"mg",NA
"39","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",10,"mg",10,"mg",10,"mg",NA
"40","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",4.6,"mg",4.6,"mg",4.6,"mg",NA
"41","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",15.4,"mg",15.4,"mg",15.4,"mg",NA
"42","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.4,"mg",7.4,"mg",7.4,"mg",NA
"43","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",6.9,"mg",6.9,"mg",6.9,"mg",NA
"44","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",10,"mg",10,"mg",10,"mg",NA
"45","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",9.9,"mg",9.9,"mg",9.9,"mg",NA
"46","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",11,"mg",11,"mg",11,"mg",NA
"47","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",10.8,"mg",10.8,"mg",10.8,"mg",NA
"48","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.9,"mg",8.9,"mg",8.9,"mg",NA
"49","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.8,"mg",8.8,"mg",8.8,"mg",NA
"50","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.4,"mg",7.4,"mg",7.4,"mg",NA
"51","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.9,"mg",8.9,"mg",8.9,"mg",NA
"52","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",9.1,"mg",9.1,"mg",9.1,"mg",NA
"53","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.9,"mg",8.9,"mg",8.9,"mg",NA
"54","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",9.3,"mg",9.3,"mg",9.3,"mg",NA
"55","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.4,"mg",8.4,"mg",8.4,"mg",NA
"56","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",9.1,"mg",9.1,"mg",9.1,"mg",NA
"57","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.4,"mg",8.4,"mg",8.4,"mg",NA
"58","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",19.5,"mg",19.5,"mg",19.5,"mg",NA
"59","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.7,"mg",7.7,"mg",7.7,"mg",NA
"60","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.4,"mg",8.4,"mg",8.4,"mg",NA
"61","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",10.4,"mg",10.4,"mg",10.4,"mg",NA
"62","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",30.4,"mg",30.4,"mg",30.4,"mg",NA
"63","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",11.5,"mg",11.5,"mg",11.5,"mg",NA
"64","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",9.8,"mg",9.8,"mg",9.8,"mg",NA
"65","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",11.5,"mg",11.5,"mg",11.5,"mg",NA
"66","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.7,"mg",7.7,"mg",7.7,"mg",NA
"67","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",8.7,"mg",8.7,"mg",8.7,"mg",NA
"68","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",9.8,"mg",9.8,"mg",9.8,"mg",NA
"69","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7,"mg",7,"mg",7,"mg",NA
"70","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.1,"mg",7.1,"mg",7.1,"mg",NA
"71","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",15.2,"mg",15.2,"mg",15.2,"mg",NA
"72","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",6.9,"mg",6.9,"mg",6.9,"mg",NA
